PASS: six-role Docker installation, actual Linux Control calibration, reviewed policy/region/defaults apply
PASS: PostgreSQL and Control restart preserve exact setup report and calibrated parameters before bootstrap
PASS: applied installation region and Room defaults reach signed runtime with both Gateway/Coordinator ACK
PUBLIC QUOTA: obeyed 429 responses=1; successful heartbeats=0
PASS: guarded candidate real Docker HTTPS 2000 visitors, 2000 status reads, 100 recent exact retries; client wall p99 including quota waits=59133.5ms; elapsed=133.2s
PUBLIC QUOTA: obeyed 429 responses=2400; successful heartbeats=1800
PASS: real HTTP heartbeat cycle retained 3000 visitors; total=4800
PASS: real HTTP heartbeat cycle retained 4200 visitors; total=9000
PUBLIC QUOTA: obeyed 429 responses=2500; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=2600; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=2700; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=2800; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=2900; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=3000; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=3100; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=3200; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=3300; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=3400; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=3500; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=3600; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=3700; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=3800; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=3900; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=4000; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=4100; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=4200; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=4300; successful heartbeats=9000
PUBLIC QUOTA: obeyed 429 responses=4400; successful heartbeats=10807
PUBLIC QUOTA: obeyed 429 responses=4500; successful heartbeats=12052
PUBLIC QUOTA: obeyed 429 responses=4600; successful heartbeats=12060
PUBLIC QUOTA: obeyed 429 responses=4700; successful heartbeats=12060
PUBLIC QUOTA: obeyed 429 responses=4800; successful heartbeats=12060
PUBLIC QUOTA: obeyed 429 responses=4900; successful heartbeats=12060
PUBLIC QUOTA: obeyed 429 responses=5000; successful heartbeats=12060
PUBLIC QUOTA: obeyed 429 responses=5100; successful heartbeats=12060
PUBLIC QUOTA: obeyed 429 responses=5200; successful heartbeats=12060
PUBLIC QUOTA: obeyed 429 responses=5300; successful heartbeats=12060
PUBLIC QUOTA: obeyed 429 responses=5400; successful heartbeats=12060
PUBLIC QUOTA: obeyed 429 responses=5500; successful heartbeats=12060
PUBLIC QUOTA: obeyed 429 responses=5600; successful heartbeats=13789
PUBLIC QUOTA: obeyed 429 responses=5700; successful heartbeats=13865
PUBLIC QUOTA: obeyed 429 responses=5800; successful heartbeats=13894
PUBLIC QUOTA: obeyed 429 responses=5900; successful heartbeats=13918
PUBLIC QUOTA: obeyed 429 responses=6000; successful heartbeats=13933
PUBLIC QUOTA: obeyed 429 responses=6100; successful heartbeats=13943
PUBLIC QUOTA: obeyed 429 responses=6200; successful heartbeats=13951
PUBLIC QUOTA: obeyed 429 responses=6300; successful heartbeats=13959
PUBLIC QUOTA: obeyed 429 responses=6400; successful heartbeats=13971
PUBLIC QUOTA: obeyed 429 responses=6500; successful heartbeats=13980
PASS: real HTTP heartbeat cycle retained 5000 visitors; total=14000
PUBLIC QUOTA: obeyed 429 responses=6600; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=6700; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=6800; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=6900; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=7000; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=7100; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=7200; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=7300; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=7400; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=7500; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=7600; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=7700; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=7800; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=7900; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=8000; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=8100; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=8200; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=8300; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=8400; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=8500; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=8600; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=8700; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=8800; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=8900; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=9000; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=9100; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=9200; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=9300; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=9400; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=9500; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=9600; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=9700; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=9800; successful heartbeats=14000
PUBLIC QUOTA: obeyed 429 responses=9900; successful heartbeats=14000
PASS: guarded candidate real Docker HTTPS 5000 visitors, 5000 status reads, 100 recent exact retries; client wall p99 including quota waits=60071.1ms; elapsed=412.3s
PUBLIC QUOTA: obeyed 429 responses=10000; successful heartbeats=14000
PASS: real HTTP heartbeat cycle retained 6200 visitors; total=20200
PUBLIC QUOTA: obeyed 429 responses=10100; successful heartbeats=20200
PASS: real HTTP heartbeat cycle retained 7878 visitors; total=28078
PUBLIC QUOTA: obeyed 429 responses=10200; successful heartbeats=28078
PUBLIC QUOTA: obeyed 429 responses=10300; successful heartbeats=35476
PUBLIC QUOTA: obeyed 429 responses=10400; successful heartbeats=35476
PUBLIC QUOTA: obeyed 429 responses=10500; successful heartbeats=35476
PUBLIC QUOTA: obeyed 429 responses=10600; successful heartbeats=35476
PUBLIC QUOTA: obeyed 429 responses=10700; successful heartbeats=35476
PUBLIC QUOTA: obeyed 429 responses=10800; successful heartbeats=35476
PUBLIC QUOTA: obeyed 429 responses=10900; successful heartbeats=35476
PUBLIC QUOTA: obeyed 429 responses=11000; successful heartbeats=35476
PUBLIC QUOTA: obeyed 429 responses=11100; successful heartbeats=35476
PUBLIC QUOTA: obeyed 429 responses=11200; successful heartbeats=35476
PUBLIC QUOTA: obeyed 429 responses=11300; successful heartbeats=35476
PASS: real HTTP heartbeat cycle retained 9800 visitors; total=37878
PUBLIC QUOTA: obeyed 429 responses=11400; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=11500; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=11600; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=11700; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=11800; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=11900; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=12000; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=12100; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=12200; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=12300; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=12400; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=12500; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=12600; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=12700; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=12800; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=12900; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=13000; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=13100; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=13200; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=13300; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=13400; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=13500; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=13600; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=13700; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=13800; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=13900; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=14000; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=14100; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=14200; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=14300; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=14400; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=14500; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=14600; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=14700; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=14800; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=14900; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=15000; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=15100; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=15200; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=15300; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=15400; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=15500; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=15600; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=15700; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=15800; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=15900; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=16000; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=16100; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=16200; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=16300; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=16400; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=16500; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=16600; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=16700; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=16800; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=16900; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=17000; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=17100; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=17200; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=17300; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=17400; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=17500; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=17600; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=17700; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=17800; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=17900; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=18000; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=18100; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=18200; successful heartbeats=37878
PUBLIC QUOTA: obeyed 429 responses=18300; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=18400; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=18500; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=18600; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=18700; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=18800; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=18900; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=19000; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=19100; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=19200; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=19300; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=19400; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=19500; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=19600; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=19700; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=19800; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=19900; successful heartbeats=41830
PUBLIC QUOTA: obeyed 429 responses=20000; successful heartbeats=43928
PUBLIC QUOTA: obeyed 429 responses=20100; successful heartbeats=44087
PUBLIC QUOTA: obeyed 429 responses=20200; successful heartbeats=44238
PUBLIC QUOTA: obeyed 429 responses=20300; successful heartbeats=44384
PUBLIC QUOTA: obeyed 429 responses=20400; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=20500; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=20600; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=20700; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=20800; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=20900; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=21000; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=21100; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=21200; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=21300; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=21400; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=21500; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=21600; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=21700; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=21800; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=21900; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=22000; successful heartbeats=46463
PUBLIC QUOTA: obeyed 429 responses=22100; successful heartbeats=46463
PASS: real HTTP heartbeat cycle retained 10000 visitors; total=47878
PUBLIC QUOTA: obeyed 429 responses=22200; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=22300; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=22400; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=22500; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=22600; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=22700; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=22800; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=22900; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=23000; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=23100; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=23200; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=23300; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=23400; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=23500; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=23600; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=23700; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=23800; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=23900; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=24000; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=24100; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=24200; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=24300; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=24400; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=24500; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=24600; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=24700; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=24800; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=24900; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=25000; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=25100; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=25200; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=25300; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=25400; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=25500; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=25600; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=25700; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=25800; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=25900; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=26000; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=26100; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=26200; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=26300; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=26400; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=26500; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=26600; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=26700; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=26800; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=26900; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=27000; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=27100; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=27200; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=27300; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=27400; successful heartbeats=47878
PUBLIC QUOTA: obeyed 429 responses=27500; successful heartbeats=47878
PASS: guarded candidate real Docker HTTPS 10000 visitors, 10000 status reads, 100 recent exact retries; client wall p99 including quota waits=60095.7ms; elapsed=793.5s
PASS: real cold readiness wait 165421ms, bounded 10K validation, same epoch, newer fence and all 10000 waiting tickets preserved
PUBLIC QUOTA: obeyed 429 responses=27600; successful heartbeats=47878
PASS: cold join response contracts: exact within retention=100, expired replay rejected at full capacity=0; all 100 original ticket credentials still read queued; explicit AUTO still required; continuous hold probing is covered separately by epoch-runtime
PASS: real 10K HTTPS waiting status reports approximate position and a positive time range after AUTO promotions
PASS: 10K physical queue retains exact cap rejection, protected GET/POST stay blocked, AUTO grants exactly seven configured leases and those claims reach mTLS origin
Fixture: waiting-room-beta-tiers-4aa87158; image=waiting-room-beta-20260912:local; guarded=true; observed 429=27657; successful heartbeats=47878; local population/boundary validation only; 10K sustained qualification NOT_RUN
